name,address,postal_code,telephone,url,closing_day,business_hour,fee,parking_car,parking_bicycle,towel_rental,water,water_depth,water_quality,temperature,roryu_status,roryu_time,air_bath,break_place,television,bgm,user_id
ゆけむり温泉ゆー遊,福井県福井市渕2-1401,918-8026,0776-34-7770,https://onsen-yuyu.com/,年中無休,6:00~24:00,1200,◯,◯,-,20,80,-,95,アウフグース,1:00~ 20:00~,◯,◯（テラス有）,◯,◯,1
越前温泉漁火,福井県丹生郡越前町厨71-335-1,916-0422,0778-37-2360,-,毎週火曜,11:00～22:00,520,◯,◯,-,25,60,-,90,×,×,◯,室内に椅子無,-,◯,1
越の湯 鯖江店,福井県鯖江市神中町2丁目2-26,916-0016,0778-52-7191,https://www.yu-iwashita.jp/,年中無休,7:00 ~25:00,650,◯,◯,-,20,60,-,95,パワー&オート,15:30 17:30 19:30 21:30,◯,◯,◯,◯,1
極楽湯 福井店,福井県福井市開発1丁目118番地,910-0842,0776-53-4126,https://www.gokurakuyu.ne.jp/tempo/fukui/,年中無休,9:00~26:00,710,◯,◯,-,20,80,-,90,-,-,◯,◯,◯,-,1
旅館 松岡サウナ,福井県吉田郡永平寺町松岡薬師3-89,910-1118,0776-61-0727,https://matsuoka-sauna.com/,無（電話にて要確認）,17:00~21:00,500,◯,◯,-,20,70,-,95,-,-,-,◯,-,-,1
お風呂のデパートたきのゆ,福井県福井市足羽2-17-4,918-8007,0776-35-6159,http://www.huroya.com/,毎週水曜,13:00~24:00,450,◯,◯,-,15,100,-,90,-,-,◯,◯,◯,-,1
勝山温泉センター水芭蕉,福井県勝山市村岡町浄土寺30-11,911-0024,0779-87-1507,http://mizubasyo.jp/,第4水曜日,10:00~22:00,620,◯,◯,-,20,80,-,90,-,-,◯,◯,◯,-,1
天然温泉コミュニティリゾートリライム,福井県福井市開発5丁目1207,910-0842,0776-52-5400,http://www.relaim.co.jp/,年中無休,6:00~26:00,1201,◯,◯,無料,16,60,アルカリ性単純温泉,95,オート,30分毎,◯,◯,◯,-,1
泰澄の杜,福井県丹生郡越前町小倉88-55-1,916-0111,0778-34-2322,http://taichou-no-mori.jp/,火曜不定休,8:00~22:00,520,◯,◯,-,20,60,-,90,-,-,◯,◯,-,-,1
サウナの梅湯,京都府京都市下京区岩滝町175,600-8115,-,https://twitter.com/umeyu_rakuen,毎週木曜,14:00~26:00,430,-,-,30円,17,90,天然地下水,98,-,-,-,-,-,◯,1
神戸サウナ＆スパ,兵庫県神戸市中央区下山手通2-2-10,650-0011,078-322-1126,http://www.kobe-sauna.co.jp/,年中無休,0:00~24:00,1700,有料定型駐車場有,-,-,12,60,-,98,"オート
 ※コロナのためアウフグース休止",30分毎,◯,◯,-,-,1
大東洋,大阪府大阪市北区中崎西2丁目1-9中崎観光ビル大東洋,530-0015,06-6312-7522,https://www.daitoyo.co.jp/spa/mens/,年中無休,12:00~翌10:00,2100,施設利用による無料サービス有,◯,無料(フェイスタオルのみ),14~24,50,-,90,パワー＆オート,30分毎,◯,◯,-,◯,1
サウナしきじ,静岡県静岡市駿河区敷地2-25-1,422-8036,054-237-5537,https://saunashikiji.jp/,年中無休,5:00~24:00,1400,◯,◯,無料,17,70,駿河天然水,110,-,-,-,◯,◯,-,1
